Experiment,Time,TR_u_IPTG,TR_u_ATC,READOUT_LACI,READOUT_TETR,STD_LACI,STD_TETR
2,170.05,0.8,20,172.906247,1334.002794,1.72906247,13.34002794
2,175.05,0.8,20,173.5717915,1333.755125,1.735717915,13.33755125
2,180.05,0.25,75,177.4648062,1317.379578,1.774648062,13.17379578
2,185.05,0.25,75,180.2794392,1274.999854,1.802794392,12.74999854
2,190.05,0.25,75,187.6362264,1290.464667,1.876362264,12.90464667
2,195.05,0.25,75,193.1422751,1249.254001,1.931422751,12.49254001
2,200.05,0.25,75,196.8622385,1222.266901,1.968622385,12.22266901
2,205.05,0.25,75,204.0971469,1196.217777,2.040971469,11.96217777
2,210.05,0.25,75,210.112953,1188.341458,2.10112953,11.88341458
2,215.05,0.25,75,209.6111381,1157.679259,2.096111381,11.57679259
2,220.05,0.25,75,222.8139656,1137.657741,2.228139656,11.37657741
2,225.05,0.25,75,232.5457149,1097.105399,2.325457149,10.97105399
2,230.05,0.25,75,237.6581669,1107.267954,2.376581669,11.07267954
2,235.05,0.25,75,245.395352,1061.085056,2.45395352,10.61085056
2,240.05,0.25,75,257.7025905,1045.835949,2.577025905,10.45835949
2,245.05,0.25,75,269.2605298,1004.717765,2.692605298,10.04717765
2,250.05,0.25,75,283.4558114,971.7932975,2.834558114,9.717932975
2,255.05,0.25,75,291.9687934,968.6090727,2.919687934,9.686090727
2,260.05,0.25,75,307.4164801,939.032617,3.074164801,9.39032617
2,265.05,0.25,75,324.6946079,917.4572854,3.246946079,9.174572854
2,270.05,0.25,75,334.8562318,906.6879862,3.348562318,9.066879862
2,275.05,0.25,75,359.0581275,853.470894,3.590581275,8.53470894
2,280.05,0.25,75,373.2341513,856.9375311,3.732341513,8.569375311
2,285.05,0.25,75,398.5499006,842.607145,3.985499006,8.42607145
2,290.05,0.25,75,413.7224666,818.2031732,4.137224666,8.182031732
2,295.0666667,0.25,75,430.5486705,794.492001,4.305486705,7.94492001
2,300.05,0.25,75,459.8561586,781.4830847,4.598561586,7.814830847
2,305.05,0.25,75,488.4175618,773.7235657,4.884175618,7.737235657
2,310.05,0.25,75,519.2283555,750.4335533,5.192283555,7.504335533
2,315.05,0.25,75,539.7994426,721.5368926,5.397994426,7.215368926
2,320.05,0.25,75,571.0677929,705.6191362,5.710677929,7.056191362
2,325.05,0.25,75,599.3480465,692.4231985,5.993480465,6.924231985
2,330.05,0.25,75,637.524172,667.1423421,6.37524172,6.671423421
2,335.05,0.25,75,669.0577028,664.0196764,6.690577028,6.640196764
2,340.05,0.25,75,707.2889243,630.5757384,7.072889243,6.305757384
2,345.05,0.25,75,752.1481482,615.6201977,7.521481482,6.156201977
2,350.05,0.25,75,785.3856525,608.9946914,7.853856525,6.089946914
2,355.05,0.25,75,838.5645622,596.7153372,8.385645622,5.967153372
2,360.05,0.25,75,861.771262,566.9273353,8.61771262,5.669273353
2,365.05,0.25,75,931.0413335,559.2487536,9.310413335,5.592487536
2,370.05,0.25,75,982.3886469,537.515479,9.823886469,5.37515479
2,375.05,0.25,75,1033.329337,519.2365376,10.33329337,5.192365376
2,380.05,0.25,75,1102.715834,509.0759745,11.02715834,5.090759745
2,385.05,0.25,75,1139.27649,488.636195,11.3927649,4.88636195
2,390.05,0.25,75,1231.111284,477.2116574,12.31111284,4.772116574
2,395.05,0.25,75,1260.417864,468.3886035,12.60417864,4.683886035
2,400.05,0.25,75,1324.087425,455.9818232,13.24087425,4.559818232
2,405.05,0.25,75,1377.855476,434.1096049,13.77855476,4.341096049
2,410.05,0.25,75,1453.968252,420.2355356,14.53968252,4.202355356
2,415.05,0.25,75,1503.503175,405.9572869,15.03503175,4.059572869
2,420.05,0.25,75,1612.33745,395.9359736,16.1233745,3.959359736
2,425.05,0.25,75,1660.179254,383.8882313,16.60179254,3.838882313
2,430.05,0.25,75,1711.736248,373.3573013,17.11736248,3.733573013
2,435.05,0.25,75,1768.322251,358.840199,17.68322251,3.58840199
2,440.05,0.25,75,1812.115539,356.9059181,18.12115539,3.569059181
2,445.05,0.25,75,1893.077281,343.3521592,18.93077281,3.433521592
2,450.05,0.25,75,1969.673129,328.1695192,19.69673129,3.281695192
2,455.05,0.25,75,2032.416276,322.187883,20.32416276,3.22187883
2,460.05,0.25,75,2060.654117,316.6878824,20.60654117,3.166878824
2,465.05,0.25,75,2084.011116,308.0475224,20.84011116,3.080475224
2,470.05,0.25,75,2202.002164,300.9212052,22.02002164,3.009212052
2,475.05,0.25,75,2195.11985,291.5117103,21.9511985,2.915117103
2,480.05,0.25,75,2268.332916,273.8774818,22.68332916,2.738774818
2,485.05,0.25,75,2292.286342,273.5637904,22.92286342,2.735637904
2,490.05,0.25,75,2381.602539,264.661389,23.81602539,2.64661389
2,495.05,0.25,75,2399.643746,264.1141936,23.99643746,2.641141936
2,500.05,0.25,75,2431.201319,255.2567325,24.31201319,2.552567325
2,505.05,0.25,75,2497.781798,258.2387753,24.97781798,2.582387753
2,510.05,0.25,75,2520.098605,245.2891881,25.20098605,2.452891881
2,515.05,0.25,75,2584.335671,238.4603132,25.84335671,2.384603132
2,520.05,0.25,75,2592.84284,232.0178303,25.9284284,2.320178303
2,525.05,0.25,75,2608.527363,233.9253913,26.08527363,2.339253913
2,530.05,0.25,75,2656.712458,221.0245965,26.56712458,2.210245965
2,535.05,0.25,75,2650.312767,220.0478011,26.50312767,2.200478011
2,540.05,0.25,75,2735.412917,217.7765468,27.35412917,2.177765468
2,545.05,0.25,75,2753.196464,212.0696333,27.53196464,2.120696333
2,550.05,0.25,75,2743.946832,210.8454517,27.43946832,2.108454517
2,555.05,0.25,75,2781.656557,206.8301411,27.81656557,2.068301411
2,560.05,0.25,75,2824.183438,198.7856405,28.24183438,1.987856405
